distance,time,speed_max,elevation,speed,yaw_rate,long_acc,lat_acc,sum_acc,throttle,brake_pres,brake_force,steering,delta,beta,Fz_aero,Fx_aero,Fx_eng,Fx_roll,Fz_mass,Fz_total,wheel_torque,engine_torque,engine_power,engine_speed,gear,fuel_cons,energy_spent_fuel,energy_spent_mech
-1.000000,0.000000,12.283469,0.000000,12.283469,1.346134,0.000000,16.535191,16.535191,0.017790,0.000000,0.000000,65.457718,9.626135,1.309752,19.510912,-42.385773,44.985535,-2.599759,-2619.270020,-2599.759033,10.121745,2.663617,581.661499,2085.306396,1.000000,0.000000,0.000000,0.000008
-0.754331,0.020000,12.283469,0.000000,12.283469,1.346134,0.000000,16.535191,16.535191,0.017790,0.000000,0.000000,65.457718,9.626135,1.309752,19.510912,-42.385773,44.985535,-2.599759,-2619.270020,-2599.759033,10.121744,2.663617,581.661499,2085.306396,1.000000,12.245499,12.245499,11.633232
-0.508661,0.040000,12.283469,0.000000,12.283469,1.346134,0.000000,16.535191,16.535191,0.017790,0.000000,0.000000,65.457718,9.626135,1.309752,19.510912,-42.385773,44.985535,-2.599759,-2619.270020,-2599.759033,10.121745,2.663617,581.661499,2085.306396,1.000000,24.491009,24.491009,23.266460
-0.262992,0.060000,12.283469,0.000000,12.283469,1.346134,0.000000,16.535191,16.535191,0.017790,0.000000,0.000000,65.457718,9.626135,1.309752,19.510912,-42.385773,44.985531,-2.599759,-2619.270020,-2599.759033,10.121744,2.663617,581.661438,2085.306396,1.000000,36.736507,36.736507,34.899689
-0.017323,0.080000,12.283469,0.000000,12.283469,1.346134,0.000000,16.535191,16.535191,0.017790,0.000000,0.000000,65.457718,9.626135,1.309752,19.510912,-42.385773,44.985531,-2.599759,-2619.270020,-2599.759033,10.121744,2.663617,581.661438,2085.306396,1.000000,48.982014,48.982014,46.532917
0.228347,0.100000,12.283469,0.000000,12.283469,1.346134,0.000000,16.535191,16.535191,0.017790,0.000000,0.000000,65.457718,9.626135,1.309752,19.510912,-42.385773,44.985531,-2.599759,-2619.270020,-2599.759033,10.121744,2.663617,581.661377,2085.306396,1.000000,61.227516,61.227516,58.166145
0.474016,0.120000,12.283469,0.000000,12.283469,1.346134,0.000000,16.535191,16.535191,0.017790,0.000000,0.000000,65.457718,9.626135,1.309752,19.510912,-42.385773,44.985531,-2.599759,-2619.270020,-2599.759033,10.121744,2.663617,581.661377,2085.306396,1.000000,73.473022,73.473022,69.799370
0.719686,0.140000,12.283469,0.000000,12.283469,1.346134,0.000000,16.535191,16.535191,0.017790,0.000000,0.000000,65.457718,9.626135,1.309752,19.510912,-42.385773,44.985527,-2.599759,-2619.270020,-2599.759033,10.121743,2.663617,581.661377,2085.306396,1.000000,85.718521,85.718521,81.432594
0.965355,0.160000,12.283469,0.000000,12.283469,1.346134,0.000000,16.535191,16.535191,0.017790,0.000000,0.000000,65.457718,9.626135,1.309752,19.510912,-42.385773,44.985527,-2.599759,-2619.270020,-2599.759033,10.121743,2.663617,581.661377,2085.306396,1.000000,97.964027,97.964027,93.065819
1.211025,0.180000,12.283469,0.000000,12.283469,1.346134,0.000000,16.535191,16.535191,0.017790,0.000000,0.000000,65.457718,9.626135,1.309752,19.510912,-42.385773,44.985527,-2.599759,-2619.270020,-2599.759033,10.121743,2.663617,581.661377,2085.306396,1.000000,110.209534,110.209534,104.699051
1.456694,0.200000,12.283469,0.000000,12.283469,1.346134,0.000000,16.535191,16.535191,0.017790,0.000000,0.000000,65.457718,9.626135,1.309752,19.510912,-42.385773,44.985527,-2.599759,-2619.270020,-2599.759033,10.121743,2.663617,581.661377,2085.306396,1.000000,122.455032,122.455032,116.332275
1.702363,0.220000,12.283469,0.000000,12.283469,1.346134,0.000000,16.535191,16.535191,0.017790,0.000000,0.000000,65.457718,9.626135,1.309752,19.510912,-42.385773,44.985527,-2.599759,-2619.270020,-2599.759033,10.121743,2.663617,581.661377,2085.306396,1.000000,134.700531,134.700531,127.965508
1.948033,0.240000,12.283469,0.000000,12.283469,1.346134,0.000000,16.535191,16.535191,0.017790,0.000000,0.000000,65.457718,9.626135,1.309752,19.510912,-42.385773,44.985527,-2.599759,-2619.270020,-2599.759033,10.121743,2.663617,581.661377,2085.306396,1.000000,146.946045,146.946045,139.598740
2.193702,0.260000,12.283469,0.000000,12.283469,1.346134,0.000000,16.535191,16.535191,0.017790,0.000000,0.000000,65.457718,9.626135,1.309752,19.510912,-42.385773,44.985527,-2.599759,-2619.270020,-2599.759033,10.121743,2.663617,581.661377,2085.306396,1.000000,159.191528,159.191528,151.231964
2.439371,0.280000,12.283469,0.000000,12.283469,1.346134,0.000000,16.535191,16.535191,0.017790,0.000000,0.000000,65.457718,9.626135,1.309752,19.510912,-42.385773,44.985527,-2.599759,-2619.270020,-2599.759033,10.121743,2.663617,581.661377,2085.306396,1.000000,171.437042,171.437042,162.865189
2.685041,0.300000,12.283469,0.000000,12.283469,1.346134,0.000000,16.535191,16.535191,0.017790,0.000000,0.000000,65.457718,9.626135,1.309752,19.510912,-42.385773,44.985527,-2.599759,-2619.270020,-2599.759033,10.121743,2.663617,581.661377,2085.306396,1.000000,183.682556,183.682556,174.498413
2.930710,0.320000,12.283469,0.000000,12.283469,1.346134,0.000000,16.535191,16.535191,0.017790,0.000000,0.000000,65.457718,9.626135,1.309752,19.510912,-42.385773,44.985527,-2.599759,-2619.270020,-2599.759033,10.121743,2.663617,581.661377,2085.306396,1.000000,195.928040,195.928040,186.131638
3.176379,0.340000,12.283469,0.000000,12.283469,1.346134,0.000000,16.535191,16.535191,0.017790,0.000000,0.000000,65.457718,9.626135,1.309752,19.510912,-42.385773,44.985527,-2.599759,-2619.270020,-2599.759033,10.121743,2.663617,581.661377,2085.306396,1.000000,208.173553,208.173553,197.764893
3.422049,0.360000,12.283469,0.000000,12.283469,1.346134,0.000000,16.535191,16.535191,0.017790,0.000000,0.000000,65.457718,9.626135,1.309752,19.510912,-42.385773,44.985527,-2.599759,-2619.270020,-2599.759033,10.121743,2.663617,581.661377,2085.306396,1.000000,220.419067,220.419067,209.398117
3.667718,0.380000,12.283469,0.000000,12.283469,1.346134,0.000000,16.535191,16.535191,0.017790,0.000000,0.000000,65.457718,9.626135,1.309752,19.510912,-42.385773,44.985527,-2.599759,-2619.270020,-2599.759033,10.121743,2.663617,581.661377,2085.306396,1.000000,232.664551,232.664551,221.031342
3.913388,0.400000,12.283469,0.000000,12.283469,1.346134,0.000000,16.535191,16.535191,0.017790,0.000000,0.000000,65.457718,9.626135,1.309752,19.510912,-42.385773,44.985527,-2.599759,-2619.270020,-2599.759033,10.121743,2.663617,581.661377,2085.306396,1.000000,244.910065,244.910065,232.664581
4.159057,0.420000,12.283469,0.000000,12.283469,1.346134,0.000000,16.535191,16.535191,0.017790,0.000000,0.000000,65.457718,9.626135,1.309752,19.510912,-42.385773,44.985527,-2.599759,-2619.270020,-2599.759033,10.121743,2.663617,581.661377,2085.306396,1.000000,257.155579,257.155579,244.297791
4.404727,0.440000,12.283469,0.000000,12.283469,1.346134,0.000000,16.535191,16.535191,0.017790,0.000000,0.000000,65.457718,9.626135,1.309752,19.510912,-42.385773,44.985527,-2.599759,-2619.270020,-2599.759033,10.121743,2.663617,581.661377,2085.306396,1.000000,269.401062,269.401062,255.931030
4.650396,0.460000,12.283469,0.000000,12.283469,1.346134,0.000000,16.535191,16.535191,0.017790,0.000000,0.000000,65.457718,9.626135,1.309752,19.510912,-42.385773,44.985527,-2.599759,-2619.270020,-2599.759033,10.121743,2.663617,581.661377,2085.306396,1.000000,281.646576,281.646576,267.564270
4.896065,0.480000,12.283469,0.000000,12.283469,1.346134,0.000000,16.535191,16.535191,0.017790,0.000000,0.000000,65.457718,9.626135,1.309752,19.510912,-42.385773,44.985527,-2.599759,-2619.270020,-2599.759033,10.121743,2.663617,581.661377,2085.306396,1.000000,293.892059,293.892059,279.197449
5.141734,0.500000,12.283469,0.000000,12.283469,1.346134,0.000000,16.535191,16.535191,0.017790,0.000000,0.000000,65.457718,9.626135,1.309752,19.510912,-42.385773,44.985527,-2.599759,-2619.270020,-2599.759033,10.121743,2.663617,581.661377,2085.306396,1.000000,306.137573,306.137573,290.830688
5.387403,0.520000,12.283469,0.000000,12.283469,1.346134,0.000000,16.535191,16.535191,0.017790,0.000000,0.000000,65.457718,9.626135,1.309752,19.510912,-42.385773,44.985527,-2.599759,-2619.270020,-2599.759033,10.121743,2.663617,581.661377,2085.306396,1.000000,318.383057,318.383057,302.463928
5.633073,0.540000,12.283469,0.000000,12.283469,1.346134,0.000000,16.535191,16.535191,0.017790,0.000000,0.000000,65.457718,9.626135,1.309752,19.510912,-42.385773,44.985527,-2.599759,-2619.270020,-2599.759033,10.121743,2.663617,581.661377,2085.306396,1.000000,330.628601,330.628601,314.097168
5.878743,0.560000,12.283469,0.000000,12.283469,1.346134,0.000000,16.535191,16.535191,0.017790,0.000000,0.000000,65.457718,9.626135,1.309752,19.510912,-42.385773,44.985527,-2.599759,-2619.270020,-2599.759033,10.121743,2.663617,581.661377,2085.306396,1.000000,342.874084,342.874084,325.730377
6.124412,0.580000,12.283469,0.000000,12.283469,1.346134,0.000000,16.535191,16.535191,0.017790,0.000000,0.000000,65.457718,9.626135,1.309752,19.510912,-42.385773,44.985527,-2.599759,-2619.270020,-2599.759033,10.121743,2.663617,581.661377,2085.306396,1.000000,355.119568,355.119568,337.363617
