position,name,python_type,c_type
232,PositionX,float,f32
236,PositionY,float,f32
240,PositionZ,float,f32
244,Speed,float,f32
248,Power,float,f32
252,Torque,float,f32
256,TireTempFrontLeft,float,f32
260,TireTempFrontRight,float,f32
264,TireTempRearLeft,float,f32
268,TireTempRearRight,float,f32
272,Boost,float,f32
276,Fuel,float,f32
280,DistanceTraveled,float,f32
284,BestLap,float,f32
288,LastLap,float,f32
292,CurrentLap,float,f32
296,CurrentRaceTime,float,f32
300,LapNumber,int,u16
302,RacePosition,int,u8
303,Accel,int,u8
304,Brake,int,u8
305,Clutch,int,u8
306,HandBrake,int,u8
307,Gear,int,u8
308,Steer,int,s8
309,NormalizedDrivingLine,int,s8
310,NormalizedAIBrakeDifference,int,s8
